,text,label
0,"Just saw your outfit, and all I can say is yikes! #fashiondisaster",OFF
1,"Your intelligence level is so low, it's probably measured in negative numbers. #sorrynotsorry",OFF
2,Congratulations on winning the award for being the most annoying person I've ever met. #notreally,OFF
3,I can't believe how much you manage to talk without actually saying anything meaningful. #emptywords,OFF
4,Your selfie game is strong... in the worst possible way. #nofilterneeded,OFF
5,Congratulations on being the champion of making bad life choices. #yourewinning,OFF
6,"Your taste in music is so terrible, it should be classified as a crime against humanity. #sorrynotsorry",OFF
7,You have a face made for radio... and a voice made for silent movies. #truthhurts,OFF
8,I've seen better dancing from a one-legged flamingo. #sorrynotsorry,OFF
9,Your opinion is as valid as a flat Earth theory. #clueless,OFF
10,The sunset today was absolutely breathtaking. Nature never ceases to amaze me. #beauty,NOT
11,Happy Friday! Time to relax and enjoy the weekend. #TGIF,NOT
12,Just finished reading an amazing book that I highly recommend. #books,NOT
13,Spent the day volunteering at a local shelter. The joy on the faces of those in need was priceless. #givingback,NOT
14,Just tried a new recipe and it turned out delicious! Cooking is so therapeutic. #foodie,NOT
15,Sending love and positive vibes to all my wonderful friends and followers. You all brighten my day! #grateful,NOT
16,Caught up with an old friend today and it felt like no time had passed at all. True friendship is timeless. #friends,NOT
17,Wishing everyone a Monday filled with productivity and accomplishment. Let's crush those goals! #motivation,NOT
18,Spent the afternoon at the beach and it was pure bliss. The sound of waves is like music to my soul. #relaxation,NOT
19,Just witnessed an act of kindness that reminded me there is still good in the world. #faithinhumanityrestored,NOT
20,"Seriously, who gave you a brain the size of a peanut? Your IQ must be in the negatives!",OFF
21,Just saw the latest fashion trend and it's called 'trying too hard'. Congrats on being a walking disaster!,OFF
22,Your face could launch a thousand nightmares. I hope you have a good Halloween costume planned!,OFF
23,"I just heard your voice and I have to say, it's like nails on a chalkboard. Do everyone a favor and stay silent!",OFF
24,"You must be a master of mathematics, because you definitely know how to divide people's opinions.",OFF
25,Your sense of humor is as dry as the Sahara desert. Have you ever considered being a professional bore?,OFF
26,Did you fall from heaven? Because it looks like you landed straight on your face!,OFF
27,You bring a whole new meaning to the word 'irritating'. I'd put up a 'No Entry' sign if I were you!,OFF
28,"I'm pretty sure I left my respect for you in the trash, right where it belongs.",OFF
29,I have a great idea! Let's play a game called 'Shut the heck up' and you can be the grand champion!,OFF
30,Life is too short to waste it being bitter. Choose happiness and spread positivity!,NOT
31,"Sending virtual hugs to all the amazing people out there. Remember, you are loved and appreciated!",NOT
32,Just a friendly reminder to always be kind and treat others with respect. You never know what battles they're fighting.,NOT
33,Today is a beautiful day to spread love and encouragement. Let's lift each other up and make a positive difference!,NOT
34,It's okay to be different. Embrace your uniqueness and shine bright like a diamond!,NOT
35,Sometimes the best way to win an argument is to simply be kind and walk away. It's not always worth the energy!,NOT
36,Be the reason someone smiles today. Small acts of kindness can have a big impact on someone's day!,NOT
37,"In a world full of negativity, be a ray of sunshine. Spread positivity like confetti!",NOT
38,You are capable of amazing things. Believe in yourself and never give up on your dreams!,NOT
39,Surround yourself with people who bring out the best in you. Life is too short to waste it on toxic relationships!,NOT
40,"Your intelligence level is so low, I'm surprised you even know how to operate a phone.",OFF
41,Your face looks like it was designed by Picasso himself.,OFF
42,Listening to you talk is like listening to nails on a chalkboard.,OFF
43,Your existence makes me question the meaning of life.,OFF
44,You're the reason I lose faith in humanity.,OFF
45,You have the personality of a wet blanket.,OFF
46,Your opinions are as useless as a screen door on a submarine.,OFF
47,"I would insult you, but you wouldn't understand half of what I'm saying anyway.",OFF
48,"You're so unimportant that if you disappeared, no one would even notice.",OFF
49,Your stupidity is on a whole new level.,OFF
50,You brighten up any room you enter with your contagious smile.,NOT
51,Sending positive vibes your way today!,NOT
52,You've always been there for me and I appreciate you so much.,NOT
53,Just wanted to let you know how awesome you are.,NOT
54,Don't forget to take some time for self-care today.,NOT
55,You have a heart of gold and it shows in everything you do.,NOT
56,You make the world a better place just by being in it.,NOT
57,Wishing you a day filled with happiness and joy.,NOT
